source,target
1,12
1,19
1,99
1,104
1,110
1,160
1,204
1,257
1,302
1,387
1,417
1,441
1,456
2,22
2,165
2,229
2,236
2,350
2,403
2,470
4,17
4,33
4,59
4,235
4,342
4,348
4,386
4,406
4,439
4,471
5,72
5,94
5,118
5,225
5,229
5,251
5,359
5,362
5,400
5,403
5,436
5,461
6,113
7,62
7,121
7,136
7,148
7,207
7,208
7,213
7,346
7,486
8,39
8,78
8,94
8,109
8,222
8,225
8,376
8,418
8,425
9,54
9,63
9,99
9,112
9,115
9,118
9,119
9,124
9,162
9,189
9,203
9,220
9,338
9,349
9,381
9,422
10,41
10,67
10,134
10,384
10,399
10,480
10,494
11,47
11,59
11,74
11,147
11,154
11,175
11,202
11,266
11,281
11,289
11,304
11,346
11,383
11,410
11,417
12,88
12,306
12,317
12,320
12,383
12,450
12,479
12,481
12,494
13,264
13,280
13,291
13,303
13,312
13,382
13,383
13,424
13,445
13,496
14,17
14,126
14,238
14,268
14,276
14,278
14,390
14,421
14,485
14,488
15,309
16,17
16,18
16,23
16,44
16,126
16,204
16,221
16,228
16,247
16,354
17,24
17,58
17,83
17,98
17,185
17,228
17,342
17,362
17,365
17,452
18,73
18,177
18,198
18,250
18,256
18,264
18,281
18,303
18,312
19,88
19,103
19,138
19,182
19,298
19,299
19,320
19,331
19,368
19,387
19,454
20,22
20,23
20,253
20,301
20,307
20,332
20,352
20,362
21,57
21,66
21,80
21,243
21,245
21,371
21,421
21,452
22,39
22,46
22,87
22,110
22,152
22,157
22,184
22,211
22,244
22,361
22,436
23,88
23,92
23,100
23,139
23,246
23,307
23,332
23,429
23,475
24,29
24,80
24,143
24,146
24,197
24,296
24,325
24,354
24,371
24,375
24,386
24,439
24,471
24,488
25,44
25,103
25,302
25,337
25,432
25,440
25,454
25,475
26,44
26,66
26,97
26,129
26,194
26,197
26,343
26,357
26,394
26,450
26,471
26,497
27,29
27,30
27,193
27,216
27,262
27,275
27,309
27,364
27,392
27,397
27,447
28,84
28,121
28,131
28,147
28,168
28,212
28,239
28,275
28,303
28,311
28,339
28,353
28,423
28,428
28,490
29,95
29,101
29,118
29,150
29,163
29,170
29,351
29,359
29,361
29,469
29,489
30,248
30,330
30,375
30,452
31,63
31,89
31,99
31,127
31,189
31,268
31,285
